id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
370,05 1 11,22,40,ND,ND,ND,ND,ND,ND,ND
371,06 1 11,22,40,ND,ND,ND,ND,ND,ND,ND
372,07 1 11,28,33,ND,ND,ND,ND,ND,ND,ND
373,08 1 11,33,39,ND,ND,ND,ND,ND,ND,ND
374,09 1 11,24,25,ND,ND,ND,ND,ND,ND,ND
375,10 1 11,15,26,ND,ND,ND,ND,ND,ND,ND
376,11 1 11,17,28,ND,ND,ND,ND,ND,ND,ND
377,12 1 11,27,32,ND,ND,ND,ND,ND,ND,ND
378,13 1 11,27,41,ND,ND,ND,ND,ND,ND,ND
379,14 1 11,25,42,ND,ND,ND,ND,ND,ND,ND
380,15 1 11,27,45,ND,ND,ND,ND,ND,ND,ND
381,16 1 11,19,33,ND,ND,ND,ND,ND,ND,ND
382,17 1 11,25,23,ND,ND,ND,ND,ND,ND,ND
383,18 1 11,22,24,ND,ND,ND,ND,ND,ND,ND
384,19 1 11,26,27,ND,ND,ND,ND,ND,ND,ND
385,20 1 11,32,33,ND,ND,ND,ND,ND,ND,ND
386,21 1 11,25,33,ND,ND,ND,ND,ND,ND,ND
387,22 1 11,24,27,ND,ND,ND,ND,ND,ND,ND
388,23 1 11,15,26,ND,ND,ND,ND,ND,ND,ND
389,24 1 11,15,24,ND,ND,ND,ND,ND,ND,ND
390,25 1 11,19,29,ND,ND,ND,ND,ND,ND,ND
391,26 1 11,19,24,ND,ND,ND,ND,ND,ND,ND
392,27 1 11,35,29,ND,ND,ND,ND,ND,ND,ND
393,28 1 11,33,31,ND,ND,ND,ND,ND,ND,ND
394,29 1 11,15,18,ND,ND,ND,ND,ND,ND,ND
395,30 1 11,16,20,ND,ND,ND,ND,ND,ND,ND
396,31 1 11,15,23,ND,ND,ND,ND,ND,ND,ND
397,01 2 11,33,31,ND,ND,ND,ND,ND,ND,ND
398,02 2 11,32,44,ND,ND,ND,ND,ND,ND,ND
399,03 2 11,31,46,ND,ND,ND,ND,ND,ND,ND
400,04 2 11,24,32,ND,ND,ND,ND,ND,ND,ND
401,05 2 11,26,37,ND,ND,ND,ND,ND,ND,ND
402,06 2 11,21,33,ND,ND,ND,ND,ND,ND,ND
403,07 2 11,27,28,ND,ND,ND,ND,ND,ND,ND
404,08 2 11,22,28,ND,ND,ND,ND,ND,ND,ND
405,09 2 11,22,27,ND,ND,ND,ND,ND,ND,ND
